,AGE,CAP_HIT,DATE,EXTENSION,LENGTH,PLAYER,POS,STRUCTURE,TEAM,TYPE,VALUE,id
202,34,6500000,2022,0,3,Claude Giroux,"RW, C",1-way,OTT,Stnd (UFA),19500000,ClaudeGiroux2022
203,26,1250000,2020,0,1,Cody Ceci,RD,1-way,PIT,Stnd (UFA),1250000,CodyCeci2020
204,27,3250000,2021,0,4,Cody Ceci,RD,1-way,EDM,Stnd (UFA),13000000,CodyCeci2021
205,29,2250000,2020,0,2,Cody Eakin,C,1-way,BUF,Stnd (UFA),4500000,CodyEakin2020
206,27,3325000,2015,0,2,Cody Franson,RD,1-way,BUF,Stnd (UFA),6650000,CodyFranson2015
207,29,1000000,2017,0,1,Cody Franson,RD,1-way,CHI,Stnd (UFA),1000000,CodyFranson2017
208,25,1050000,2015,0,1,Cody Hodgson,"C, RW",1-way,NSH,Stnd (UFA),1050000,CodyHodgson2015
209,34,750000,2018,0,1,Cody McLeod,"LW, RW",1-way,NYR,Stnd (UFA),750000,CodyMcLeod2018
210,29,1000000,2012,0,1,Colby Armstrong,RW,1-way,MTL,Stnd (UFA),1000000,ColbyArmstrong2012
211,29,1200000,2022,0,2,Colin Blackwell,"C, RW",1-way,CHI,Stnd (UFA),2400000,ColinBlackwell2022
212,31,750000,2017,0,1,Colin Greening,LW,1-way,TOR,Stnd (UFA),750000,ColinGreening2017
213,29,1850000,2022,0,2,Colin Miller,RD,1-way,DAL,Stnd (UFA),3700000,ColinMiller2022
214,25,1200000,2022,0,1,Colin White,"RW, C",1-way,FLA,Stnd (UFA),1200000,ColinWhite2022
215,29,2600000,2019,0,1,Colin Wilson,"C, LW",1-way,COL,Stnd (UFA),2600000,ColinWilson2019
216,28,750000,2022,0,1,Collin Delia,G,1-way,VAN,Stnd (UFA),750000,CollinDelia2022
217,27,950000,2016,0,2,Colton Sceviour,"RW, C",1-way,FLA,Stnd (UFA),1900000,ColtonSceviour2016
218,28,735000,2020,0,1,Conor Sheary,"LW, RW",1-way,WSH,Stnd (UFA),735000,ConorSheary2020
219,35,3900000,2020,0,2,Corey Crawford,G,1-way,NJD,35+ (UFA),7800000,CoreyCrawford2020
220,34,1500000,2019,0,1,Corey Perry,RW,1-way,DAL,Stnd (UFA),3250000,CoreyPerry2019
221,35,750000,2020,0,1,Corey Perry,RW,1-way,MTL,35+ (UFA),750000,CoreyPerry2020
222,36,1000000,2021,0,2,Corey Perry,RW,1-way,TBL,35+ (UFA),2000000,CoreyPerry2021
223,26,575000,2016,0,1,Cory Conacher,LW,1-way,TBL,Stnd (UFA),575000,CoryConacher2016
224,34,700000,2021,0,1,Cory Schneider,G,1-way,NYI,Stnd (UFA),700000,CorySchneider2021
225,36,700000,2013,0,2,Craig Adams,RW,1-way,PIT,35+ (UFA),1400000,CraigAdams2013
226,40,750000,2021,0,1,Craig Anderson,G,1-way,BUF,35+ (UFA),750000,CraigAnderson2021
227,30,3100000,2020,0,3,Craig Smith,"RW, C",1-way,BOS,Stnd (UFA),9300000,CraigSmith2020
228,24,700000,2019,0,1,Curtis Lazar,"RW, C",1-way,BUF,Stnd (UFA),700000,CurtisLazar2019
229,27,1000000,2022,0,3,Curtis Lazar,"RW, C",1-way,VAN,Stnd (UFA),3000000,CurtisLazar2022
230,36,1300000,2019,0,2,Curtis McElhinney,G,1-way,TBL,35+ (UFA),2600000,CurtisMcElhinney2019
231,27,750000,2018,0,2,Curtis McKenzie,LW,1-way,VGK,Stnd (UFA),1500000,CurtisMcKenzie2018
232,35,3100000,2013,0,3,Dainius Zubrus,LW,1-way,NJD,35+ (UFA),9300000,DainiusZubrus2013
233,37,600000,2015,0,1,Dainius Zubrus,LW,1-way,SJS,35+ (UFA),600000,DainiusZubrus2015
234,26,825000,2022,0,2,Dakota Joshua,LW,1-way,VAN,Stnd (UFA),1650000,DakotaJoshua2022
235,27,2350000,2016,0,4,Dale Weise,"RW, LW",1-way,PHI,Stnd (UFA),9400000,DaleWeise2016
236,29,800000,2019,0,1,Dalton Prout,RD,1-way,SJS,Stnd (UFA),800000,DaltonProut2019
237,37,4500000,2014,0,2,Dan Boyle,LD,1-way,NYR,35+ (UFA),9000000,DanBoyle2014
238,32,650000,2013,0,1,Dan Ellis,G,1-way,CAR,Stnd (UFA),800000,DanEllis2013
239,33,3000000,2017,0,2,Dan Girardi,RD,1-way,TBL,Stnd (UFA),6000000,DanGirardi2017
240,33,3750000,2016,0,2,Dan Hamhuis,LD,1-way,DAL,Stnd (UFA),7500000,DanHamhuis2016
241,35,1250000,2018,0,2,Dan Hamhuis,LD,1-way,NSH,35+ (UFA),2500000,DanHamhuis2018
242,40,3500000,2013,0,1,Daniel Alfredsson,RW,1-way,DET,35+ (UFA),5500000,DanielAlfredsson2013
243,35,4000000,2013,0,2,Daniel Brière,C,1-way,MTL,35+ (UFA),8000000,DanielBrière2013
244,29,550000,2014,0,1,Daniel Carcillo,LW,1-way,CHI,Stnd (UFA),550000,DanielCarcillo2014
245,26,750000,2018,0,1,Daniel Carr,LW,1-way,VGK,Stnd (UFA),750000,DanielCarr2018
246,27,700000,2019,0,1,Daniel Carr,LW,1-way,NSH,Stnd (UFA),700000,DanielCarr2019
247,34,1750000,2013,0,1,Daniel Cleary,RW,1-way,DET,Stnd (UFA),1750000,DanielCleary2013
248,35,1500000,2014,0,1,Daniel Cleary,RW,1-way,DET,35+ (UFA),2500000,DanielCleary2014
249,36,950000,2015,0,1,Daniel Cleary,RW,1-way,DET,35+ (UFA),950000,DanielCleary2015
250,27,1800000,2012,0,2,Daniel Winnik,C,1-way,ANA,Stnd (UFA),3600000,DanielWinnik2012
251,29,1300000,2014,0,1,Daniel Winnik,C,1-way,TOR,Stnd (UFA),1300000,DanielWinnik2014
252,30,2250000,2015,0,2,Daniel Winnik,C,1-way,TOR,Stnd (UFA),4500000,DanielWinnik2015
253,32,660000,2017,0,1,Daniel Winnik,C,1-way,MIN,Stnd (UFA),660000,DanielWinnik2017
254,25,1100000,2021,0,1,Danton Heinen,"LW, RW",1-way,PIT,Stnd (UFA),1100000,DantonHeinen2021
255,26,1000000,2022,0,1,Danton Heinen,"LW, RW",1-way,PIT,Stnd (UFA),1000000,DantonHeinen2022
256,33,1000000,2014,0,1,Dany Heatley,LW,1-way,ANA,Stnd (UFA),1000000,DanyHeatley2014
257,31,850000,2012,0,1,Darcy Hordichuk,LW,1-way,EDM,Stnd (UFA),850000,DarcyHordichuk2012
258,27,650000,2017,0,1,Darcy Kuemper,G,1-way,LAK,Stnd (UFA),650000,DarcyKuemper2017
259,32,5250000,2022,0,5,Darcy Kuemper,G,1-way,WSH,Stnd (UFA),26250000,DarcyKuemper2022
260,29,3850000,2016,0,5,Darren Helm,"C, LW, RW",1-way,DET,Stnd (UFA),19250000,DarrenHelm2016
261,34,1000000,2021,0,1,Darren Helm,"C, LW, RW",1-way,COL,Stnd (UFA),1000000,DarrenHelm2021
262,35,1250000,2022,0,1,Darren Helm,"C, LW, RW",1-way,COL,35+ (UFA),1250000,DarrenHelm2022
263,28,5500000,2014,0,5,Dave Bolland,C,1-way,FLA,Stnd (UFA),27500000,DaveBolland2014
264,32,6000000,2016,0,5,David Backes,"C, RW",1-way,BOS,Stnd (UFA),30000000,DavidBackes2016
265,29,1100000,2014,0,1,David Booth,LW,1-way,TOR,Stnd (UFA),1100000,DavidBooth2014
266,30,1000000,2017,0,1,David Desharnais,C,1-way,NYR,Stnd (UFA),1000000,DavidDesharnais2017
267,24,1000000,2019,0,2,David Kämpf,C,1-way,CHI,Stnd (UFA),2000000,DavidKämpf2019
268,26,1500000,2021,0,2,David Kämpf,C,1-way,TOR,Stnd (UFA),3000000,DavidKämpf2021
269,36,1000000,2022,0,1,David Krejci,C,1-way,BOS,35+ (UFA),3000000,DavidKrejci2022
270,33,3000000,2014,0,2,David Legwand,"C, LW",1-way,OTT,Stnd (UFA),6000000,DavidLegwand2014
271,30,2100000,2012,0,2,David Moss,RW,1-way,ARI,Stnd (UFA),4200000,DavidMoss2012
272,32,800000,2014,0,1,David Moss,RW,1-way,ARI,Stnd (UFA),800000,DavidMoss2014
273,28,3750000,2016,0,2,David Perron,"RW, LW",1-way,STL,Stnd (UFA),7500000,DavidPerron2016
274,30,4000000,2018,0,4,David Perron,"RW, LW",1-way,STL,Stnd (UFA),16000000,DavidPerron2018
275,34,4750000,2022,0,2,David Perron,"RW, LW",1-way,DET,Stnd (UFA),9500000,DavidPerron2022
276,28,1250000,2021,0,1,David Rittich,G,1-way,NSH,Stnd (UFA),1250000,DavidRittich2021
277,29,900000,2022,0,1,David Rittich,G,1-way,WPG,Stnd (UFA),900000,DavidRittich2022
278,30,3500000,2021,0,4,David Savard,RD,1-way,MTL,Stnd (UFA),14000000,DavidSavard2021
279,28,625000,2015,0,1,David Schlemko,LD,1-way,NJD,Stnd (UFA),625000,DavidSchlemko2015
280,29,2100000,2016,0,4,David Schlemko,LD,1-way,SJS,Stnd (UFA),8400000,DavidSchlemko2016
281,27,675000,2017,0,2,David Warsofsky,LD,1-way,COL,Stnd (UFA),1350000,DavidWarsofsky2017
282,29,1500000,2013,0,1,Denis Grebeshkov,D,1-way,EDM,Stnd (UFA),1500000,DenisGrebeshkov2013
283,25,762500,2022,0,2,Dennis Gilbert,LD,1-way,CGY,Stnd (UFA),1525000,DennisGilbert2022
284,26,725000,2017,0,1,Dennis Rasmussen,C,1-way,ANA,Stnd (UFA),725000,DennisRasmussen2017
